name,e3_ligase,smiles,ligand_class,source,exit_vector_confidence,stereochemistry_valid,source_confidence,diversity_score,known_degrader_usage,article_doi,uniprot,activity_nM,attachment_point
AKOS018335169,CRBN,COc1ccccc1N1CCC(=O)NC1=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acsmedchemlett.1c00580),0.75,true,0.7,0.5,,10.1021/acsmedchemlett.1c00580,Q96SW2,,approximate (construction appends [*:1])
CRBN_ligand_79,CRBN,O=C1CCC(Nc2ccccc2)C(=O)N1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,Q96SW2,,approximate (construction appends [*:1])
EN106,FEM1B,N#CCCN(C(=O)CCl)c1ccc2c(c1)OCCO2,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jacs.1c03980),0.75,true,0.7,0.5,,10.1021/jacs.1c03980,Q9UK73,2200,approximate (construction appends [*:1])
CRBN_ligand_81,CRBN,O=C1CCC(N2C(=O)c3ccc(F)cc3C2=O)C(=O)N1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,Q96SW2,493,approximate (construction appends [*:1])
FBXO22_ligand_82,FBXO22,O=C(CCl)NC(C(=O)NCc1ccccc1)c1nc2ccccc2s1,literature_e3_ligand,e3_ligand.csv (DOI 10.1101/2023.09.15.557708),0.75,true,0.7,0.5,,10.1101/2023.09.15.557708,,,approximate (construction appends [*:1])
VHL_ligand_83,VHL,Cc1nc(C)c(-c2ccc([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](N)C(C)(C)C)cc2)s1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c01144),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c01144,P40337,,approximate (construction appends [*:1])
VHL_ligand_84,VHL,Cc1ncsc1-c1ccc(-c2c[nH]c([C@@H]3C[C@@H](O)CN3C(=O)[C@@H](N)C(C)(C)C)n2)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c01144),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c01144,P40337,,approximate (construction appends [*:1])
VHL_ligand_85,VHL,Cc1nc(C)c(-c2ccc(-c3c[nH]c([C@@H]4C[C@@H](O)CN4C(=O)[C@@H](N)C(C)(C)C)n3)cc2)s1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c01144),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c01144,P40337,,approximate (construction appends [*:1])
CRBN_ligand_86,CRBN,CN1CCc2cc3c(cc2C1)C(=O)N(C1CCC(=O)NC1=O)C3=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c01264),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c01264,Q96SW2,6000,approximate (construction appends [*:1])
CRBN_ligand_87,CRBN,CN1CCc2cc3c(cc2CC1)C(=O)N(C1CCC(=O)NC1=O)C3=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c01264),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c01264,Q96SW2,7300,approximate (construction appends [*:1])
CRBN_ligand_88,CRBN,Cn1c(=O)n(C2CCC(=O)NC2=O)c2ccccc21,literature_e3_ligand,"e3_ligand.csv (DOI U.S. Patent Application No. 17/258,344)",0.75,true,0.7,0.5,,"U.S. Patent Application No. 17/258,344",Q96SW2,,approximate (construction appends [*:1])
RO8994,MDM2,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmc.2014.05.072),0.75,true,0.7,0.5,,10.1016/j.bmc.2014.05.072,Q00987,,approximate (construction appends [*:1])
LCL161,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/leu.2010.212),0.75,true,0.7,0.5,,10.1038/leu.2010.212,Q13490,,approximate (construction appends [*:1])
cIAP1_ligand_91,cIAP1,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jnatprod.2c00912),0.75,true,0.7,0.5,,10.1021/acs.jnatprod.2c00912,Q13490,,approximate (construction appends [*:1])
Piperlongumine,KEAP1,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,literature_e3_ligand,e3_ligand.csv (DOI 10.18632/oncotarget.2402),0.75,true,0.7,0.5,,10.18632/oncotarget.2402,Q14145,,approximate (construction appends [*:1])
BTR2000,KLHL20,CC(C)CC1NC(=O)C(CC(=O)O)NC(=O)C2CCCN2C(=O)C(N)CSCc2cccc(c2)CSCC(C(N)=O)NC1=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1101/gad.349717.122),0.75,true,0.7,0.5,,10.1101/gad.349717.122,Q9Y2M5,,approximate (construction appends [*:1])
CRBN_ligand_94,CRBN,NCC(=O)N[C@H]1CCC(=O)NC1=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/s41586-022-05333-5),0.75,true,0.7,0.5,,10.1038/s41586-022-05333-5,Q96SW2,,approximate (construction appends [*:1])
CRBN_ligand_95,CRBN,NCC(=O)N[C@H]1CC(=O)NC1=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/s41586-022-05333-5),0.75,true,0.7,0.5,,10.1038/s41586-022-05333-5,Q96SW2,,approximate (construction appends [*:1])
MY-11B,DCAF1,C#Cc1ccc([C@H]2CN(C(=O)C=C)[C@H]2C(=O)Nc2cccc3cccnc23)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jacs.2c08964),0.75,true,0.7,0.5,,10.1021/jacs.2c08964,Q9Y4B6,,approximate (construction appends [*:1])
KI-696,KEAP1,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.6b00228),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.6b00228,Q14145,,approximate (construction appends [*:1])
DGY-04-091,KEAP1,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN(C)S(=O)(=O)c3ccccc3)c2)cc2nnn(C)c12,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.chembiol.2022.08.003),0.75,true,0.7,0.5,,10.1016/j.chembiol.2022.08.003,Q14145,,approximate (construction appends [*:1])
CRBN_ligand_99,CRBN,O=C1CCC(NC(=O)c2ccccc2F)C(=O)N1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c00851),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c00851,Q96SW2,,approximate (construction appends [*:1])
CRBN_ligand_100,CRBN,COc1ccccc1C(=O)NC1CCC(=O)NC1=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c00851),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c00851,Q96SW2,,approximate (construction appends [*:1])
CRBN_ligand_101,CRBN,O=C1CCC(NC(=O)c2ccccc2)C(=O)N1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c00851),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c00851,Q96SW2,,approximate (construction appends [*:1])
CRBN_ligand_102,CRBN,Nc1cc(OS(=O)(=O)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1039/d3cb00103b),0.75,true,0.7,0.5,,10.1039/d3cb00103b,Q96SW2,,approximate (construction appends [*:1])
cIAP1_ligand_103,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.chembiol.2023.10.023),0.75,true,0.7,0.5,,10.1016/j.chembiol.2023.10.023,Q13490,,approximate (construction appends [*:1])
UBR box_ligand_104,UBR box,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.3c01493),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.3c01493,,,approximate (construction appends [*:1])
DCAF1_ligand_105,DCAF1,CC(=O)N1CCN(c2ccc3c(NCCN)nc(C4(c5ccc(Cl)cc5)CCCCC4)nc3c2)CC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acsmedchemlett.3c00104),0.75,true,0.7,0.5,,10.1021/acsmedchemlett.3c00104,Q9Y4B6,,approximate (construction appends [*:1])
KLHDC2_ligand_106,KLHDC2,CCC(C)c1cc2c(n(-c3ccc(=O)n(CC(=O)O)c3)c1=O)CN(C(=O)OCCOC)CC2,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/s41594-023-01146-w),0.75,true,0.7,0.5,,10.1038/s41594-023-01146-w,Q9Y2U9,,approximate (construction appends [*:1])
