Rank,Tier,Target,E3 ligase,Warhead name,Warhead SMILES,Warhead source,E3 ligand name,E3 ligand SMILES,Linker SMILES,Linker class,Full PROTAC SMILES,Assembly strategy,Reaction class,Validity status,MW,TPSA,logP,HBD,HBA,Rotatable bonds,Predicted DC50 nM,Predicted Dmax %,Degradation confidence,Applicability domain,hERG risk,AMES risk,DILI risk,Solubility risk,Novelty score,Nearest known PROTAC similarity,Ternary feasibility score,Synthetic feasibility score,Final priority score,Warning flags,Reason for ranking
33,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,427.87,104.0,-0.42,0,7,4,31.93,80.7,0.694,0.505,low,low,low,low,0.343,0.657,0.0,0.741,0.709,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.34, synthetic 0.74."
34,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCn1nncc1CC[*:2],triazole,Cc1ccnc(NC(=O)c2ccccc2)c1CCn1nncc1CCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,467.31,123.0,-0.74,0,9,0,36.16,79.1,0.693,0.505,low,low,low,low,0.463,0.537,0.0,0.664,0.709,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.70, Dmax score 0.79, ADME score 0.98, novelty 0.46, synthetic 0.66."
35,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCNC(=O)N1CCN(CC1)CC[*:2],piperazine,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCNC(=O)N1CCN(CC1)CCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,709.09,157.0,-0.35,0,11,14,33.28,80.2,0.806,0.881,low,low,low,low,0.491,0.509,0.0,0.639,0.708,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.92, novelty 0.49, synthetic 0.64."
36,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCN1CCN(CC1)CC[*:2],piperazine,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCN1CCN(CC1)CCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,665.67,128.0,-0.02,0,9,12,33.28,80.2,0.778,0.787,low,low,low,low,0.455,0.545,0.0,0.675,0.708,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.94, novelty 0.46, synthetic 0.68."
37,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,530.37,104.0,0.06,0,7,8,42.68,76.9,0.728,0.619,low,low,low,low,0.511,0.489,0.0,0.779,0.708,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.51, synthetic 0.78."
38,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCOCCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCOCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,470.69,121.0,-0.53,0,8,7,31.93,80.7,0.72,0.595,low,low,low,low,0.343,0.657,0.0,0.723,0.708,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.34, synthetic 0.72."
39,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCOCCOCCOCC[*:2],PEG,Cc1ccnc(NC(=O)c2ccccc2)c1CCOCCOCCOCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,513.51,138.0,-0.64,0,9,10,31.93,80.7,0.747,0.684,low,low,low,low,0.343,0.657,0.0,0.696,0.707,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.98, novelty 0.34, synthetic 0.70."
40,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,543.78,104.0,0.09,0,7,9,42.68,76.9,0.734,0.64,low,low,low,low,0.511,0.489,0.0,0.77,0.707,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.51, synthetic 0.77."
41,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,452.1,87.0,-0.14,0,6,6,42.68,76.9,0.698,0.521,low,low,low,low,0.522,0.478,0.0,0.718,0.706,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.52, synthetic 0.72."
42,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,438.69,87.0,-0.17,0,6,5,42.68,76.9,0.692,0.5,low,low,low,low,0.522,0.478,0.0,0.727,0.706,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.52, synthetic 0.73."
43,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCCCCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,478.92,87.0,-0.06,0,6,8,42.68,76.9,0.711,0.563,low,low,low,low,0.522,0.478,0.0,0.691,0.704,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.52, synthetic 0.69."
44,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCCCCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,570.6,104.0,0.16,0,7,11,42.68,76.9,0.747,0.682,low,low,low,low,0.511,0.489,0.0,0.743,0.703,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.96, novelty 0.51, synthetic 0.74."
45,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,570.6,104.0,0.16,0,7,11,42.68,76.9,0.747,0.682,low,low,low,low,0.491,0.509,0.0,0.747,0.701,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.96, novelty 0.49, synthetic 0.75."
46,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,584.01,104.0,0.2,0,7,12,42.68,76.9,0.753,0.703,low,low,low,low,0.491,0.509,0.0,0.738,0.7,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.96, novelty 0.49, synthetic 0.74."
47,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCCCCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,610.83,104.0,0.27,0,7,14,42.68,76.9,0.766,0.745,low,low,low,low,0.491,0.509,0.0,0.711,0.697,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.94, novelty 0.49, synthetic 0.71."
48,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,411.87,87.0,-0.24,0,6,3,42.68,76.9,0.679,0.458,low,low,low,low,0.417,0.583,0.0,0.75,0.697,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.42, synthetic 0.75."
49,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,398.46,87.0,-0.28,0,6,2,42.68,76.9,0.673,0.437,low,low,low,low,0.417,0.583,0.0,0.759,0.697,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.42, synthetic 0.76."
50,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCCCCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,438.69,87.0,-0.17,0,6,5,42.68,76.9,0.692,0.5,low,low,low,low,0.417,0.583,0.0,0.723,0.696,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.42, synthetic 0.72."
